RedFighter,BlueFighter,Winner,RMatchWCRank,BMatchWCRank,RedWins,RedLosses,BlueWins,BlueLosses,WinDif,LossDif,RedHeight,BlueHeight,RedReach,BlueReach,ReachDif,RedAvgSigStrLanded,RedAvgSigStrPct,BlueAvgSigStrLanded,BlueAvgSigStrPct,SigStrDif,RedStrikingRatio,BlueStrikingRatio,RedOdds,BlueOdds,RKOOdds,BKOOdds,RSubOdds,BSubOdds,RedDecOdds,BlueDecOdds,Favorite
Shara Magomedov,Marc-Andre Barriault,Red ,,,15,1,17,9,2,8,74,73,73,74,1,5.87,0.62,6.02,0.47,0.15,0.4936921783,0.5063078217,,,,,,,,,
Asu Almabayev,Jose Ochoa,Red ,9,,21,3,8,1,-13,-2,64,67,65,67,2,2.32,0.54,3.96,0.33,1.64,0.3694267516,0.6305732484,,,,,,,,,
Nikita Krylov,Bogdan Guskov,Blue ,10,13,30,10,17,3,-13,-7,75,75,77.5,76,-1.5,4.33,0.54,3.87,0.51,-0.46,0.5280487805,0.4719512195,,,,,,,,,
Bryce Mitchell,Said Nurmagomedov,Red ,,,17,4,18,4,1,0,70,68,70,70,0,2.44,0.59,3.38,0.47,0.94,0.4192439863,0.5807560137,,,,,,,,,
Muslim Salikhov,Carlos Leal,Red ,,,21,5,22,6,1,1,71,71,70,74,4,3.38,0.49,9.65,0.5,6.27,0.2594013814,0.7405986186,,,,,,,,,
Davey Grant,Da'Mon Blackshear,Red ,,,16,7,17,7,1,0,68,70,69,72,3,5.25,0.44,4.7,0.46,-0.55,0.527638191,0.472361809,,,,,,,,,
Amanda Ribas,Tabatha Ricci,Blue ,7,10,12,6,11,3,-1,-3,64,61,66,61,-5,4.29,0.39,4.18,0.36,-0.11,0.5064935065,0.4935064935,,,,,,,,,
Ibo Aslan,Billy Elekana,Blue ,,,14,2,7,2,-7,0,75,75,77.5,77,-0.5,7.84,0.5,2.34,0.71,-5.5,0.7701375246,0.2298624754,,,,,,,,,
Mohammad Yahya,Steven Nguyen,Blue ,,,12,5,9,2,-3,-3,69,71,73,73,0,2.38,0.42,7.15,0.4,4.77,0.2497376705,0.7502623295,,,,,,,,,
Martin Buday,Marcus Buchecha,Red ,,,15,2,5,1,-10,-1,76,76,77,0,-77,4.67,0.53,0,0,-4.67,1,0,,,,,,,,,
Tatsuro Taira,Hyunsung Park,Red ,6,,16,1,10,0,-6,-1,67,67,70,66,-4,2.99,0.6,4.27,0.46,1.28,0.41184573,0.58815427,,,,,,,,,
Mateusz Rębecki,Chris Duncan,Blue ,,,20,2,13,2,-7,0,67,70,66,71.5,5.5,4.7,0.48,4.2,0.45,-0.5,0.5280898876,0.4719101124,,,,,,,,,
Elves Brener,Esteban Ribovics,Blue ,,,16,5,14,2,-2,-3,70,70,72.5,69,-3.5,3.99,0.47,8.08,0.43,4.09,0.3305716653,0.6694283347,,,,,,,,,
Karol Rosa,Nora Cornolle,Red ,10,12,18,7,9,2,-9,-5,65,67,67.5,67,-0.5,6.22,0.55,3.07,0.54,-3.15,0.6695371367,0.3304628633,,,,,,,,,
Neil Magny,Elizeu Zaleski dos Santos,Red ,,,29,14,25,9,-4,-5,75,71,80,73,-7,3.43,0.46,4.26,0.41,0.83,0.4460338101,0.5539661899,,,,,,,,,
Danny Silva,Kevin Vallejos,Blue ,,,10,1,15,1,5,0,71,67,70,68,-2,7.36,0.59,6.48,0.51,-0.88,0.5317919075,0.4682080925,,,,,,,,,
Rinya Nakamura,Nathan Fletcher,Red ,,,9,1,9,2,0,1,67,67,68.5,70,1.5,3.1,0.51,3.44,0.6,0.34,0.4740061162,0.5259938838,,,,,,,,,
Rodolfo Vieira,Tresean Gore,Red ,,,10,3,6,3,-4,0,72,72,73,75,2,3.33,0.53,2.77,0.46,-0.56,0.5459016393,0.4540983607,,,,,,,,,
Nick Klein,Andrey Pulyaev,Blue ,,,6,2,9,3,3,1,73,76,77,78.5,1.5,3.22,0.6,3.87,0.58,0.65,0.4541607898,0.5458392102,,,,,,,,,
Austin Bashi,John Yannis,Red ,,,13,1,9,3,-4,2,66,67,70,70.5,0.5,1.94,0.48,0,0,-1.94,1,0,,,,,,,,,
Rafael Estavam,Felipe Bunes,Red ,,,13,0,14,7,1,7,68,67,69,69,0,2.06,0.57,4.49,0.53,2.43,0.3145038168,0.6854961832,,,,,,,,,
Piera Rodriguez,Ketlen Souza,Red ,,,10,2,15,5,5,3,63,63,63.5,63,-0.5,3.4,0.48,4.92,0.59,1.52,0.4086538462,0.5913461538,,,,,,,,,
Roman Dolidze,Anthony Hernandez,Blue ,9,10,15,3,14,2,-1,-1,74,72,76,75,-1,3.58,0.42,4.5,0.63,0.92,0.4430693069,0.5569306931,,,,,,,,,
Steve Erceg,Ode' Osbourne,Red ,,,12,4,13,8,1,4,68,67,68,73,5,4.45,0.46,3.2,0.4,-1.25,0.5816993464,0.4183006536,,,,,,,,,
Iasmin Lucindo,Angela Hill,Red ,8,12,17,6,18,14,1,8,63,63,66,64.5,-1.5,2.94,0.44,5.47,0.5,2.53,0.3495838288,0.6504161712,,,,,,,,,
Andre Fili,Christian Rodriguez,Red ,,,24,12,12,3,-12,-9,71,67,74,71.5,-2.5,3.84,0.37,3.63,0.5,-0.21,0.5140562249,0.4859437751,,,,,,,,,
Miles Johns,Jean Matsumoto,Blue ,,,15,3,16,1,1,-2,67,66,68,68.5,0.5,3.16,0.44,5.18,0.41,2.02,0.3788968825,0.6211031175,,,,,,,,,
Eryc Anders,Christian Leroy Duncan,Blue ,,,17,8,11,2,-6,-6,73,74,75,79,4,3.54,0.48,4.75,0.59,1.21,0.4270205066,0.5729794934,,,,,,,,,
Julius Walker,Rafael Cerqueira,Red ,,,6,1,11,2,5,1,76,75,78,76,-2,5.73,0.5,3.28,0.43,-2.45,0.6359600444,0.3640399556,,,,,,,,,
Elijah Smith,Toshiomi Kazama,Red ,,,8,1,11,4,3,3,69,67,71,69,-2,3.83,0.41,1.71,0.53,-2.12,0.6913357401,0.3086642599,,,,,,,,,
Joselyne Edwards,Prescila Cachoeira,Red ,14,,15,6,13,6,-2,0,68,67,70,65,-5,4.62,0.53,4.03,0.44,-0.59,0.5341040462,0.4658959538,,,,,,,,,
Uroš Medić,Gilbert Urbina,Red ,,,10,3,7,4,-3,1,73,69,71,75,4,5.49,0.6,5.61,0.57,0.12,0.4945945946,0.5054054054,,,,,,,,,
Gabriella Fernandes,Julija Stoliarenko,Red ,,,10,3,11,9,1,6,66,67,66,66,0,3.46,0.46,2.49,0.39,-0.97,0.581512605,0.418487395,,,,,,,,,
Cody Brundage,Eric McConico,Blue ,,,11,6,9,3,-2,-3,72,72,72,77,5,2.23,0.52,0.9,0.38,-1.33,0.7124600639,0.2875399361,,,,,,,,,
